"Box","SST","y","ymin","ymax",".width",".point",".interval"
"Box 1",12.8465012682167,0.112306077057919,0.0855624933980969,0.129932775285624,0.8,"median","qi"
"Box 1",12.9118939064062,0.114305582527867,0.0883148420185201,0.130929761184665,0.8,"median","qi"
"Box 1",12.9772865445957,0.116096246585268,0.0911315079001898,0.131952542353023,0.8,"median","qi"
"Box 1",13.0426791827851,0.117959458958332,0.0939347289440992,0.133171263809523,0.8,"median","qi"
"Box 1",13.1080718209746,0.119750261254817,0.0964843600054068,0.134439913289294,0.8,"median","qi"
"Box 1",13.1734644591641,0.12150761331035,0.0989969537371287,0.135600760930431,0.8,"median","qi"
"Box 1",13.2388570973535,0.123206123998056,0.101779886519492,0.136775852029181,0.8,"median","qi"
"Box 1",13.304249735543,0.125026069623526,0.104164400964296,0.137983436296821,0.8,"median","qi"
"Box 1",13.3696423737324,0.126781041240856,0.106630007140957,0.139388927227798,0.8,"median","qi"
"Box 1",13.4350350119219,0.128502378872821,0.108917583763227,0.140650744524316,0.8,"median","qi"
"Box 1",13.5004276501114,0.13022484877923,0.111333757625775,0.142010499226734,0.8,"median","qi"
"Box 1",13.5658202883008,0.131930811060825,0.113436769944067,0.143348727670817,0.8,"median","qi"
"Box 1",13.6312129264903,0.133564049344007,0.11600522695838,0.14482709357419,0.8,"median","qi"
"Box 1",13.6966055646798,0.135187619687825,0.118262457999175,0.146497263033297,0.8,"median","qi"
"Box 1",13.7619982028692,0.13669531515867,0.120645277603347,0.148190536321958,0.8,"median","qi"
"Box 1",13.8273908410587,0.138147023576451,0.122738277659348,0.149680704789463,0.8,"median","qi"
"Box 1",13.8927834792481,0.139600039066455,0.124717719556881,0.151286202459829,0.8,"median","qi"
"Box 1",13.9581761174376,0.141005717845728,0.12663494584172,0.152946724867089,0.8,"median","qi"
"Box 1",14.0235687556271,0.142371725797504,0.128494434106837,0.154408497419666,0.8,"median","qi"
"Box 1",14.0889613938165,0.143655156518898,0.130266975883473,0.155947253135987,0.8,"median","qi"
"Box 1",14.154354032006,0.14488884036677,0.131969948199672,0.157370878979518,0.8,"median","qi"
"Box 1",14.2197466701955,0.146103867381605,0.133593175404627,0.158644492240031,0.8,"median","qi"
"Box 1",14.2851393083849,0.147269927687162,0.135193591261369,0.159996086037141,0.8,"median","qi"
"Box 1",14.3505319465744,0.148321473375902,0.136552178076325,0.161132929335632,0.8,"median","qi"
"Box 1",14.4159245847639,0.149355070519043,0.137951021513725,0.162333984588899,0.8,"median","qi"
"Box 1",14.4813172229533,0.150255169862748,0.13920771901044,0.163452939885024,0.8,"median","qi"
"Box 1",14.5467098611428,0.151123860047673,0.140450974231683,0.164526926751271,0.8,"median","qi"
"Box 1",14.6121024993322,0.152050351685145,0.141520548958497,0.165331325011603,0.8,"median","qi"
"Box 1",14.6774951375217,0.152853319555466,0.142519316133048,0.166080726101215,0.8,"median","qi"
"Box 1",14.7428877757112,0.153490963853688,0.143617290871259,0.166787136107426,0.8,"median","qi"
"Box 1",14.8082804139006,0.154228429275852,0.144682436739071,0.167380389912633,0.8,"median","qi"
"Box 1",14.8736730520901,0.154909037577427,0.145553486169758,0.167854726303521,0.8,"median","qi"
"Box 1",14.9390656902796,0.15562605654747,0.146373829496251,0.168117528378245,0.8,"median","qi"
"Box 1",15.004458328469,0.156270350947846,0.147062035447352,0.168428452973504,0.8,"median","qi"
"Box 1",15.0698509666585,0.156767295998699,0.147878323767639,0.168712507336306,0.8,"median","qi"
"Box 1",15.1352436048479,0.1572128607622,0.148453841732975,0.168862996930195,0.8,"median","qi"
"Box 1",15.2006362430374,0.157577314772144,0.148953169526601,0.168944423425202,0.8,"median","qi"
"Box 1",15.2660288812269,0.157899255758206,0.149492348699878,0.168912651513068,0.8,"median","qi"
"Box 1",15.3314215194163,0.158241691252693,0.149947068418223,0.168840607210529,0.8,"median","qi"
"Box 1",15.3968141576058,0.158548300834781,0.150380806138868,0.168631768211852,0.8,"median","qi"
"Box 1",15.4622067957953,0.15875025122839,0.150705500585042,0.168335780519797,0.8,"median","qi"
"Box 1",15.5275994339847,0.158928447749922,0.150944776903108,0.168254731725111,0.8,"median","qi"
"Box 1",15.5929920721742,0.159017522514709,0.151120590821921,0.168004324303847,0.8,"median","qi"
"Box 1",15.6583847103636,0.159064080834537,0.15138191507037,0.167644851996371,0.8,"median","qi"
"Box 1",15.7237773485531,0.159027780683767,0.151563853063051,0.167192214224389,0.8,"median","qi"
"Box 1",15.7891699867426,0.159030490935399,0.151719211328468,0.166716863032804,0.8,"median","qi"
"Box 1",15.854562624932,0.158834898907593,0.151796360820501,0.16630824748821,0.8,"median","qi"
"Box 1",15.9199552631215,0.158714199843052,0.151818150565549,0.165977480592752,0.8,"median","qi"
"Box 1",15.985347901311,0.158456557919467,0.151829962858337,0.165431664618907,0.8,"median","qi"
"Box 1",16.0507405395004,0.158223997964326,0.151809011685176,0.164955369648263,0.8,"median","qi"
"Box 1",16.1161331776899,0.157873381803969,0.151575610881114,0.164399841405447,0.8,"median","qi"
"Box 1",16.1815258158793,0.15754276837201,0.151515806602998,0.163942214434002,0.8,"median","qi"
"Box 1",16.2469184540688,0.157183775029006,0.151356150376899,0.163514193237719,0.8,"median","qi"
"Box 1",16.3123110922583,0.156777887958594,0.15110463127849,0.163151986529827,0.8,"median","qi"
"Box 1",16.3777037304477,0.156374224427242,0.150911174635875,0.162735026115477,0.8,"median","qi"
"Box 1",16.4430963686372,0.155954363370146,0.150694275744221,0.162276362170116,0.8,"median","qi"
"Box 1",16.5084890068267,0.155518788717221,0.150474605095749,0.161873870180687,0.8,"median","qi"
"Box 1",16.5738816450161,0.155060873622809,0.150158921176783,0.161520652721948,0.8,"median","qi"
"Box 1",16.6392742832056,0.15455029059916,0.149768256176396,0.161249302715682,0.8,"median","qi"
"Box 1",16.704666921395,0.154069936235799,0.149307419865986,0.160868012067905,0.8,"median","qi"
"Box 1",16.7700595595845,0.153591035748262,0.148851445579092,0.160440577196314,0.8,"median","qi"
"Box 1",16.835452197774,0.1530964972819,0.148288145708013,0.15996957132345,0.8,"median","qi"
"Box 1",16.9008448359634,0.152580326187666,0.147839113160673,0.159772225212669,0.8,"median","qi"
"Box 1",16.9662374741529,0.152064870636429,0.147393019949406,0.159399432248033,0.8,"median","qi"
"Box 1",17.0316301123424,0.151561375461499,0.146827522641093,0.159210136091353,0.8,"median","qi"
"Box 1",17.0970227505318,0.151094006070921,0.146193149519997,0.158713226451758,0.8,"median","qi"
"Box 1",17.1624153887213,0.150650220280422,0.145630643359034,0.158417767292296,0.8,"median","qi"
"Box 1",17.2278080269108,0.150183606505069,0.145027816510872,0.15806012998843,0.8,"median","qi"
"Box 1",17.2932006651002,0.149715529048472,0.144411757380715,0.157921156003335,0.8,"median","qi"
"Box 1",17.3585933032897,0.149267018465339,0.143771291936942,0.157848961999495,0.8,"median","qi"
"Box 1",17.4239859414791,0.148845616672812,0.14317666568641,0.15759583130919,0.8,"median","qi"
"Box 1",17.4893785796686,0.14847807680912,0.142635336515935,0.157297562223685,0.8,"median","qi"
"Box 1",17.5547712178581,0.14804768808621,0.142079328927111,0.157070911638481,0.8,"median","qi"
"Box 1",17.6201638560475,0.147702040637893,0.141547294385169,0.156932877423183,0.8,"median","qi"
"Box 1",17.685556494237,0.147338658480459,0.141014013871064,0.156886388519422,0.8,"median","qi"
"Box 1",17.7509491324265,0.146955111647111,0.140485689803292,0.156732644246856,0.8,"median","qi"
"Box 1",17.8163417706159,0.146596347616106,0.140005801557954,0.156540211777819,0.8,"median","qi"
"Box 1",17.8817344088054,0.146206946425505,0.13950363806066,0.156347941053361,0.8,"median","qi"
"Box 1",17.9471270469948,0.145884539658974,0.13900170872535,0.156112427526732,0.8,"median","qi"
"Box 1",18.0125196851843,0.145603103507095,0.138604678526828,0.155923232269481,0.8,"median","qi"
"Box 1",18.0779123233738,0.145273162667228,0.138240767333149,0.155718058941805,0.8,"median","qi"
"Box 1",18.1433049615632,0.14492693354914,0.137812864046412,0.155728120237687,0.8,"median","qi"
